form	lemma	POS	morph
༄༅། །		PUNCT
ཐོལ་	ཐོལ་	ADV
བྱུང་	བྱུང་	VERB
དུ་	ལ་	PART
བྲིས་པ་	བྲིས་པ་	VERB
འི་	གི་	PART
མགུ་	མགུ་	NOUN
།		PUNCT
ཨ་ཧོ་	ཨ་ཧོ་	NO_POS
།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཀུན་	ཀུན་	DET
ལ་	ལ་	PART
ཡོད་པ་	ཡོད་པ་	VERB
འི་	གི་	PART
། །		PUNCT
ཡེ་གྲོལ་	ཡེ་གྲོལ་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
། །		PUNCT
གཞན་	གཞན་	DET
ན་	ནས་	PART
བཙལ་	བཙལ་	NO_POS
དུ་	ལ་	PART
མི་	མི་	PART
དགོས་	དགོས་	VERB
། །		PUNCT
ཡེ་ནས་	ཡེ་ནས་	NO_POS
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
ཀ་དག་	ཀ་དག་	OTHER
།		PUNCT
རང་བཞིན་	རང་བཞིན་	NOUN
གཤིས་	གཤིས་	OTHER
ཀྱི་	གི་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
། །		PUNCT
འདི་ཀོ་	འདི་ཀོ་	NO_POS
ངོ་འཕྲོད་	ངོ་འཕྲོད་	NO_POS
དེས་ཆོག་	དེས་ཆོག་	NO_POS
།		PUNCT
བློ་	བློ་	NOUN
ས་	གིས་	PART
བྱ་	བྱ་	VERB
བཟོ་བཅོས་	བཟོ་བཅོས་	NO_POS
མི་	མི་	PART
དགོས་	དགོས་	VERB
། །		PUNCT
སྒྲིམས་	སྒྲིམས་	NO_POS
ལྷོད་	ལྷོད་	NO_POS
ལ་སོགས་	ལ་སོགས་	NO_POS
མཚན་	མཚན་	NOUN
འཛིན་	འཛིན་	VERB
"།
།"		PUNCT
ཡིད་དཔྱོད་	ཡིད་དཔྱོད་	NO_POS
ཆོ་	ཆོ་	NOUN
ཀྱིས་	གིས་	PART
མ་	མ་	PART
བསླད་	བསླད་	NO_POS
། །		PUNCT
འཕྲོ་	འཕྲོ་	NOUN
གནས་	གནས་	NOUN
གང་ལྟར་	གང་ལྟར་	NO_POS
བྱ་	བྱ་	VERB
ཀྱང་	ཀྱང་	PART
། །		PUNCT
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
རྩལ་	རྩལ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གཞན་	གཞན་	DET
མེད་	མེད་	VERB
"།
།"		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
ངན་	ངན་	VERB
དུ་མ་	དུ་མ་	ADJ
སོང་	སོང་	VERB
། །		PUNCT
མྱང་འདས་	མྱང་འདས་	NOUN
བཟང་	བཟང་	VERB
དུ་མ་	དུ་མ་	ADJ
གྱུར་	གྱུར་	VERB
། །		PUNCT
གཟུང་འཛིན་	གཟུང་འཛིན་	NOUN
གཉིས་	གཉིས་	NUM
རྟོག་	རྟོག་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
"།
།"		PUNCT
ཆོས་དབྱིངས་	ཆོས་དབྱིངས་	NOUN
བརྡལ་	བརྡལ་	NO_POS
ཁྱབ་	ཁྱབ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ར་	ལ་	PART
། །		PUNCT
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
ཉག་གཅིག་	ཉག་གཅིག་	NO_POS
ཀློང་	ཀློང་	NOUN
དུ་	ལ་	PART
། །		PUNCT
དབྱེ་བསལ་	དབྱེ་བསལ་	NO_POS
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
མཉམ་	མཉམ་	VERB
མོ་	གོ་	PART
། །		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
དྲིན་	དྲིན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
"།
།"		PUNCT
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
རྟོགས་པ་	རྟོགས་པ་	VERB
འི་	གི་	PART
མོད་	མོད་	VERB
ལ་	ལ་	PART
། །		PUNCT
དེ་	སྟེ་	PART
མ་	མ་	PART
ཐག་	ཐག་	VERB
ཏུ་	ལ་	PART
གྲོལ་བ་	གྲོལ་བ་	VERB
། །		PUNCT
ཨ་	ཨ་	X
ཏི་	ཏི་	NO_POS
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
ཁྱད་ཆོས་	ཁྱད་ཆོས་	NOUN
། །		PUNCT
འོད་གསལ་	འོད་གསལ་	NOUN
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
།		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
མྱུར་ལམ་	མྱུར་ལམ་	OTHER
ཟབ་པ་	ཟབ་པ་	VERB
། །		PUNCT
མདོ་	མདོ་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
ཀུན་	ཀུན་	DET
ན་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
འདི་འདྲ་	འདི་འདྲ་	NO_POS
འཕྲད་པ་	འཕྲད་པ་	VERB
བློ་	བློ་	NOUN
བདེ་	བདེ་	VERB
"།
།"		PUNCT
ཕ་	ཕ་	NOUN
རྗེས་	རྗེས་	NOUN
བུ་	བུ་	NOUN
ཡི་	གིས་	PART
ཟིན་པ་	ཟིན་པ་	VERB
ར་	ལ་	PART
། །		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
བླ་མ་	བླ་མ་	NOUN
ས་	གིས་	PART
བྱིན་	བྱིན་	VERB
རློབས་	རློབས་	VERB
། །		PUNCT
ཅེས་པ་	ཅེས་པ་	PART
འང་	ཀྱང་	PART
ཐོལ་	ཐོལ་	ADV
བྱུང་	བྱུང་	VERB
དུ་	ལ་	PART
བྲིས་	བྲིས་	VERB
།		PUNCT
