form	lemma	POS	morph
༄༅། །		PUNCT
ངེས་དོན་	ངེས་དོན་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
གླུ་	གླུ་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
བདེ་	བདེ་	VERB
ལམ་	གམ་	PART
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
ཕ་	ཕ་	NOUN
མཚན་ལྡན་	མཚན་ལྡན་	ADJ
གྱི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
། །		PUNCT
ཡིད་	ཡིད་	NOUN
དད་	དད་	VERB
བརྒྱ་	བརྒྱ་	NUM
འི་	གི་	PART
གདུང་བ་	གདུང་བ་	VERB
ས་	གིས་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
། །		PUNCT
རྗེ་	རྗེ་	NO_POS
ཁྱེད་	ཁྱེད་	PRON
ཀྱི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
མཐུ་	མཐུ་	NOUN
ནུས་	ནུས་	VERB
ཀྱིས་	གིས་	PART
"།
།"		PUNCT
དོན་	དོན་	NOUN
ངེས་	ངེས་	VERB
གསང་	གསང་	VERB
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
། །		PUNCT
ཆོ་	ཆོ་	NOUN
སྣང་བ་	སྣང་བ་	VERB
འདི་དག་	འདི་དག་	NO_POS
རང་	རང་	PRON
གི་	གི་	PART
སེམས་	སེམས་	NOUN
། །		PUNCT
མདངས་	མདངས་	NOUN
རྨི་ལམ་	རྨི་ལམ་	NOUN
འཁྲུལ་སྣང་	འཁྲུལ་སྣང་	OTHER
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
དུ་	ལ་	PART
། །		PUNCT
གཞི་རྩ་བ་	གཞི་རྩ་བ་	NOUN
མེད་	མེད་	VERB
ཅིང་	ཅིང་	PART
སྟོང་པ་	སྟོང་པ་	VERB
འི་	གི་	PART
གཟུགས་	གཟུགས་	NOUN
"།
།"		PUNCT
དེ་	སྟེ་	PART
སྣང་བ་	སྣང་བ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
ན་	ལ་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
སྟོང་	སྟོང་	NUM
། །		PUNCT
སྟོང་	སྟོང་	NUM
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
སྣང་བ་	སྣང་བ་	VERB
མ་	མ་	PART
འགག་	འགག་	VERB
ས་	གིས་	PART
ཤིང་	ཅིང་	PART
། །		PUNCT
ཀུན་རྫོབ་	ཀུན་རྫོབ་	NOUN
ཏུ་	ལ་	PART
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
བསླུ་བ་	བསླུ་བ་	VERB
མེད་	མེད་	VERB
"།
།"		PUNCT
དོན་དམ་	དོན་དམ་	NOUN
དུ་	ལ་	PART
སྐྱེ་འགག་	སྐྱེ་འགག་	NOUN
ས་	གིས་	PART
གནས་	གནས་	NOUN
བྲལ་བ་	བྲལ་བ་	VERB
འི་	གི་	PART
། །		PUNCT
སྟོང་	སྟོང་	NUM
རྟེན་འབྱུང་	རྟེན་འབྱུང་	OTHER
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
རོ་	རོ་	NOUN
གཅིག་	གཅིག་	NUM
འདི་	འདི་	DET
"།
།"		PUNCT
གཞི་	གཞི་	NOUN
མཐའ་བྲལ་	མཐའ་བྲལ་	NOUN
དབུ་མ་	དབུ་མ་	PROPN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཟེ་	ཟེ་	VERB
། །		PUNCT
དེ་	སྟེ་	PART
ཕྱི་	ཕྱི་	NOUN
ན་	ལ་	PART
མེད་	མེད་	VERB
དེ་	སྟེ་	PART
རང་	རང་	PRON
གི་	གི་	PART
སེམས་	སེམས་	NOUN
། །		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
ཀྱི་	གི་	PART
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
གཉུག་	གཉུག་	NO_POS
མ་	མ་	PART
འདི་	འདི་	DET
། །		PUNCT
བཞི་ཆ་	བཞི་ཆ་	NO_POS
གསུམ་	གསུམ་	NUM
བྲལ་	བྲལ་	VERB
གྱི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ལ་	ལ་	PART
། །		PUNCT
གཉིས་	གཉིས་	NUM
འཛིན་	འཛིན་	VERB
གྱི་	གི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
ས་	གིས་	PART
མ་	མ་	PART
བསླད་པ་	བསླད་པ་	VERB
ར་	ལ་	PART
"།
།"		PUNCT
གཞི་མ་	གཞི་མ་	OTHER
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
སོ་མ་	སོ་མ་	ADJ
རང་བབ་	རང་བབ་	NO_POS
ཏུ་	ལ་	PART
། །		PUNCT
ངང་	ངང་	NOUN
གནས་	གནས་	NOUN
ཀྱི་	གི་	PART
དྲན་པ་	དྲན་པ་	VERB
ས་	གིས་	PART
ཡེངས་	ཡེངས་	NO_POS
འཛིན་	འཛིན་	VERB
བྲལ་	བྲལ་	VERB
"།
།"		PUNCT
སྒོམ་	སྒོམ་	VERB
འོད་གསལ་	འོད་གསལ་	NOUN
གྱི་	གི་	PART
བློ་	བློ་	NOUN
ཡི་	གིས་	PART
མ་	མ་	PART
བཅིང་	བཅིང་	NO_POS
ཞིང་	ཅིང་	PART
། །		PUNCT
རེ་དོགས་	རེ་དོགས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འདས་པ་	འདས་པ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
དེ་	སྟེ་	PART
རུ་	ལ་	PART
། །		PUNCT
བྱ་	བྱ་	VERB
བྱེད་	བྱེད་	VERB
ཀྱི་	གི་	PART
རྩོལ་བ་	རྩོལ་བ་	VERB
བྲལ་བ་	བྲལ་བ་	VERB
ལ་	ལ་	PART
"།
།"		PUNCT
ལམ་	གམ་	PART
སྒོམ་པ་	སྒོམ་པ་	VERB
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
གཞི་	གཞི་	NOUN
ཀ་	ཀ་	DET
ན་	ནས་	PART
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དེ་	སྟེ་	PART
། །		PUNCT
རྒྱ་ཆད་	རྒྱ་ཆད་	NO_POS
ཕྱོགས་ལྷུང་	ཕྱོགས་ལྷུང་	NOUN
བྲལ་བ་	བྲལ་བ་	VERB
ཡི་	གི་	PART
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
སྟོང་པ་	སྟོང་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཡི་	གི་	PART
། །		PUNCT
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
མ་	མ་	PART
བཙལ་	བཙལ་	NO_POS
རྫོགས་	རྫོགས་	VERB
"།
།"		PUNCT
དེ་	སྟེ་	PART
སྒོ་	སྒོ་	NOUN
ཡུལ་	ཡུལ་	NOUN
རླུང་	རླུང་	NOUN
རིག་	རིག་	VERB
གནད་	གནད་	NOUN
བསྣུན་པ་	བསྣུན་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
ལམ་	གམ་	PART
སྣང་	སྣང་	VERB
གི་	གི་	PART
སྒྲོན་མ་	སྒྲོན་མ་	NOUN
ཆེ་	ཆེ་	VERB
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
འབའ་	འབའ་	VERB
"།
།"		PUNCT
མངོན་སུམ་	མངོན་སུམ་	NOUN
གྱི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
ན་	ནས་	PART
བརྩམ་	བརྩམ་	VERB
སྟེ་	སྟེ་	PART
། །		PUNCT
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཆོ་	ཆོ་	NOUN
ཟད་	ཟད་	VERB
བློ་འདས་	བློ་འདས་	NO_POS
དགོངས་པ་	དགོངས་པ་	VERB
རྙེས་		NON_WORD
། །		PUNCT
ཕྱི་	ཕྱི་	NOUN
ནང་	ནང་	NOUN
གི་	གི་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
ཟག་པ་	ཟག་པ་	VERB
ཟད་	ཟད་	VERB
"།
།"		PUNCT
རིག་པ་	རིག་པ་	VERB
འོད་	འོད་	NOUN
ཀྱི་	གི་	PART
སྐུ་	སྐུ་	NOUN
རུ་	ལ་	PART
སྨིན་	སྨིན་	VERB
། །		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
གྱི་	གི་	PART
མཛད་པ་	མཛད་པ་	VERB
རྒྱུན་	རྒྱུན་	NOUN
མི་	མི་	PART
ཆད་	ཆད་	VERB
། །		PUNCT
དེ་	སྟེ་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལགས་	ལགས་	AUX
"།
།"		PUNCT
ཚུལ་	ཚུལ་	NOUN
དེ་སྐད་	དེ་སྐད་	NO_POS
གླུ་	གླུ་	NOUN
རུ་	ལ་	PART
གདམས་པ་	གདམས་པ་	VERB
འདི་	འདི་	DET
ས་	གིས་	PART
། །		PUNCT
ཁམས་	ཁམས་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
མ་ལུས་པ་	མ་ལུས་པ་	OTHER
ས་	གིས་	PART
། །		PUNCT
ཆེན་པོ་	ཆེན་པོ་	ADJ
གསུམ་	གསུམ་	NUM
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་རྟོགས་པ་	མེད་རྟོགས་པ་	NO_POS
དང་	དང་	NO_POS
"།
།"		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
དོང་	དོང་	VERB
ན་	ནས་	PART
སྤྲུགས་	སྤྲུགས་	VERB
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
། །		PUNCT
ཅེས་པ་	ཅེས་པ་	PART
འང་	ཀྱང་	PART
རང་	རང་	PRON
སློབ་	སློབ་	VERB
དགེ་སློང་	དགེ་སློང་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྱིས་	གིས་	PART
ལྷ་རྫས་	ལྷ་རྫས་	NOUN
དང་	དང་	NO_POS
རིན་	རིན་	NOUN
གཉིས་	གཉིས་	NUM
རྟེན་	རྟེན་	NOUN
