form	lemma	POS	morph
༄༅། །		PUNCT
ངེས་དོན་	ངེས་དོན་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
མ་འཁྲུལ་བ་	མ་འཁྲུལ་བ་	NO_POS
ར་	ལ་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
ངེས་དོན་	ངེས་དོན་	NOUN
ལམ་བཟང་	ལམ་བཟང་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
ཁྱབ་བདག་	ཁྱབ་བདག་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
དང་	དང་	NO_POS
ཏེ་ལོ་པ་	ཏེ་ལོ་པ་	PROPN
། །		PUNCT
ན་རོ་	ན་རོ་	PROPN
མེ་	མེ་	NOUN
ཏྲི་	ཏྲི་	NO_POS
མ་	མ་	NOUN
མི་	མི་	PART
དྭགས་པོ་	དྭགས་པོ་	OTHER
སོགས་	སོགས་	DET
། །		PUNCT
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
གཟིགས་	གཟིགས་	VERB
"།
།"		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
ཞེས་་	ཞེས་པ་	PART
མི་	མི་	PART
དྲན་	དྲན་	VERB
དགུ་	དགུ་	NUM
དྲན་	དྲན་	VERB
གྱི་	གི་	PART
། །		PUNCT
གྱ་གྱུ་	གྱ་གྱུ་	NOUN
རིག་རིག་	རིག་རིག་	ADV
ཝལ་ཝལ་	ཝལ་ཝལ་	NO_POS
འདི་ཉིད་	འདི་ཉིད་	OTHER
ནི་	ནི་	NO_POS
"།
།"		PUNCT
མ་	མ་	PART
བརྟགས་	བརྟགས་	VERB
ཉམས་	ཉམས་	NOUN
དགའ་	དགའ་	VERB
ཡོད་	ཡོད་	VERB
ཡོད་	ཡོད་	VERB
འདྲ་བ་	འདྲ་བ་	VERB
ས་	གིས་	PART
བཅིང་	བཅིང་	NO_POS
། །		PUNCT
གཟུང་འཛིན་	གཟུང་འཛིན་	NOUN
འཁྲུལ་	འཁྲུལ་	NO_POS
རྟོག་	རྟོག་	VERB
སྤང་བླང་	སྤང་བླང་	NOUN
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
ཀྱི་	གི་	PART
། །		PUNCT
རེ་	རེ་	DET
དང་	དང་	NO_POS
དོགས་པ་	དོགས་པ་	VERB
ས་	གིས་	PART
བཅིངས་	བཅིངས་	VERB
ན་	ནས་	PART
སྲིད་པ་	སྲིད་པ་	VERB
ར་	ལ་	PART
དུབ་	དུབ་	NO_POS
"།
།"		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
དྲིན་	དྲིན་	NOUN
གྱིས་	གིས་	PART
འདི་	འདི་	DET
ལ་	ལ་	PART
དཔྱད་པ་	དཔྱད་པ་	VERB
ན་	ལ་	PART
། །		PUNCT
བྱུང་	བྱུང་	VERB
དང་	དང་	NO_POS
གནས་	གནས་	NOUN
དང་	དང་	NO_POS
འགྲོ་བ་	འགྲོ་བ་	VERB
ས་	གིས་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
སྟོང་	སྟོང་	NUM
"།
།"		PUNCT
གཞི་རྩ་	གཞི་རྩ་	NOUN
བྲལ་	བྲལ་	VERB
ཞིང་	ཅིང་	PART
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
སྟོང་པ་	སྟོང་པ་	VERB
ཆེ་	ཆེ་	VERB
། །		PUNCT
འཁོར་འདས་	འཁོར་འདས་	NOUN
དངོས་པོ་	དངོས་པོ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
ཆོས་དབྱིངས་	ཆོས་དབྱིངས་	NOUN
མཐའ་བྲལ་	མཐའ་བྲལ་	NOUN
ཡངས་པ་	ཡངས་པ་	ADJ
ཆེན་པོ་	ཆེན་པོ་	ADJ
སྟེ་	སྟེ་	PART
"།
།"		PUNCT
རིག་	རིག་	VERB
དང་	དང་	NO_POS
མ་རིག་	མ་རིག་	NOUN
འཁོར་འདས་	འཁོར་འདས་	NOUN
ཞེ་	ཅེས་	PART
སུ་	ལ་	PART
གདགས་	གདགས་	NO_POS
། །		PUNCT
རྟོགས་	རྟོགས་	VERB
ན་	ལ་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
མ་	མ་	PART
རྟོགས་	རྟོགས་	VERB
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཏེ་	སྟེ་	PART
"།
།"		PUNCT
དོན་	དོན་	NOUN
ལ་	ལ་	PART
འཁོར་འདས་	འཁོར་འདས་	NOUN
གཉིས་	གཉིས་	NUM
སུ་	ལ་	PART
གྲུབ་པ་	གྲུབ་པ་	VERB
མེད་	མེད་	VERB
། །		PUNCT
འདི་	འདི་	DET
མིང་	མིང་	NOUN
ཆོས་དབྱིངས་	ཆོས་དབྱིངས་	NOUN
བདེ་གཤེགས་	བདེ་གཤེགས་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
དང་	དང་	NO_POS
"།
།"		PUNCT
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣམ་	རྣམ་	NOUN
མཆོག་	མཆོག་	ADJ
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སོགས་	སོགས་	DET
། །		PUNCT
མཚན་	མཚན་	NOUN
གྱི་	གི་	PART
རྣམ་	རྣམ་	NOUN
གྲངས་	གྲངས་	NOUN
མང་	མང་	VERB
ཡང་	ཀྱང་	PART
དོན་	དོན་	NOUN
ལ་	ལ་	PART
གཅིག་	གཅིག་	NUM
།		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
རྟོགས་	རྟོགས་	VERB
བྱེད་	བྱེད་	VERB
ལམ་	གམ་	PART
གྱི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
ནི་	ནི་	NO_POS
"།
།"		PUNCT
རང་རྒྱུད་	རང་རྒྱུད་	NOUN
སྨིན་	སྨིན་	VERB
ཅིང་	ཅིང་	PART
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
ཚོགས་	ཚོགས་	NOUN
བསགས་	བསགས་	VERB
དང་	དང་	NO_POS
། །		PUNCT
སྒྲིབ་	སྒྲིབ་	NOUN
སྦྱོང་	སྦྱོང་	VERB
མོས་གུས་	མོས་གུས་	NOUN
གནད་	གནད་	NOUN
དུ་	ལ་	PART
བསྣུན་པ་	བསྣུན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
"།
།"		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
བརྡ་	བརྡ་	NOUN
ཐབས་	ཐབས་	NOUN
ཙམ་	ཙམ་	DET
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
། །		PUNCT
ཡང་ན་	ཡང་ན་	NO_POS
མ་	མ་	PART
གསུང་	གསུང་	VERB
མ་	མ་	PART
བསྒོམ་	བསྒོམ་	VERB
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
གིས་	གིས་	PART
"།
།"		PUNCT
བླ་སློབ་	བླ་སློབ་	NO_POS
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
གཅིག་	གཅིག་	NUM
ཏུ་	ལ་	PART
འདྲེ་	འདྲེ་	VERB
གྱུར་	གྱུར་	VERB
ན་	ལ་	PART
། །		PUNCT
རིག་པ་	རིག་པ་	VERB
ཧ་	ཧ་	VERB
སངས་	སངས་	VERB
བརྗོད་	བརྗོད་	VERB
བྲལ་	བྲལ་	VERB
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེ་	ཆེ་	VERB
། །		PUNCT
ཤེས་པ་	ཤེས་པ་	VERB
ས་	གིས་	PART
མ་	མ་	PART
བསླད་	བསླད་	NO_POS
གསལ་སྟོང་	གསལ་སྟོང་	NO_POS
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
ནི་	ནི་	NO_POS
"།
།"		PUNCT
དུས་གསུམ་	དུས་གསུམ་	OTHER
དུས་	དུས་	NOUN
མེད་	མེད་	VERB
རྟག་	རྟག་	VERB
ཏུ་	ལ་	PART
ཉམས་	ཉམས་	NOUN
སུ་	ལ་	PART
མྱོང་	མྱོང་	VERB
། །		PUNCT
འཛིན་	འཛིན་	VERB
རྩོལ་	རྩོལ་	NO_POS
བྲལ་	བྲལ་	VERB
ཞིང་	ཅིང་	PART
ཡེངས་པ་	ཡེངས་པ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
ཤོར་བ་	ཤོར་བ་	VERB
"།
།"		PUNCT
བསྒོམ་	བསྒོམ་	VERB
འདོད་བློ་	འདོད་བློ་	NO_POS
ཡི་	གི་	PART
སྤྲོས་པ་	སྤྲོས་པ་	VERB
འི་	གི་	PART
གཟེབ་	གཟེབ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གྲོལ་	གྲོལ་	VERB
། །		PUNCT
ཚོགས་	ཚོགས་	NOUN
དྲུག་	དྲུག་	NUM
རྟོག་	རྟོག་	VERB
ཚོགས་	ཚོགས་	NOUN
རང་གྲོལ་	རང་གྲོལ་	NOUN
རང་	རང་	PRON
ཡལ་	ཡལ་	NO_POS
དུ་	ལ་	PART
"།
།"		PUNCT
ཤ་	ཤ་	VERB
ཙམ་	ཙམ་	DET
ཉིད་	ཉིད་	DET
ན་	ནས་	PART
གྲོལ་བ་	གྲོལ་བ་	VERB
ར་	ལ་	PART
ཆས་པ་	ཆས་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
གནས་འགྱུ་	གནས་འགྱུ་	NO_POS
རིག་	རིག་	VERB
གསུམ་	གསུམ་	NUM
མཉམ་པ་	མཉམ་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ར་	ལ་	PART
ཤེ་	ཤེ་	VERB
། །		PUNCT
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
གང་	གང་	NO_POS
སྐྱེ་	སྐྱེ་	VERB
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
རོལ་པ་	རོལ་པ་	VERB
ར་	ལ་	PART
འཆར་	འཆར་	NO_POS
"།
།"		PUNCT
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
ནུས་པ་	ནུས་པ་	VERB
འི་	གི་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
